Name,Type,Seats,CC,Min Price (Lakh),Max Price (Lakh),Range (kmpl),Price
Mahindra Thar,Petrol,4,1497,11.35,17.6,15.2,1671667
Maruti Swift,Petrol,5,1197,6.49,9.6,24.8,728516
Mahindra Scorpio,Diesel ,7,2184,13.62,17.42,22,1650075
Tata Punch,Petrol,5,1199,6.13,10.2,20.09,691114
Hyundai Creta,Petrol,5,1497,11,20.15,17.4,1273662
Mahindra XUV700,Petrol,5,1999,13.99,26.04,15,1636062
Tata Nexon,Petrol,5,1199,8,15.8,17.44,898185
Maruti Brezza,Petrol,5,1462,8.34,14.14,17.38,932544
Mahindra XUV 3XO,Petrol,5,1197,7.49,15.49,18.89,841750
Toyota Fortuner,Petrol,7,2694,33.43,51.44,10,3877305
Mahindra Bolero,Diesel ,7,1493,9.79,10.91,16,1112348
Toyota Innova Crysta,Diesel ,8,2393,19.99,26.55,20,2375174
Maruti Ertiga,Petrol,7,1462,8.69,13.03,20.51,968665
Land Rover Defender,Petrol,5,1997,97,285,9.2,11170278
Maruti FRONX,Petrol,5,1197,7.51,13.04,21.79,839546
Maruti Baleno,Petrol,5,1197,6.66,9.83,22.35,751770
Land Rover Range Rover,Diesel ,5,2997,2.36,260,13.16,27725295
Hyundai Exter,Petrol,5,1197,6.13,10.43,19.4,698009
Tata Harrier,Diesel ,5,1956,14.99,26.44,16.8,1788393
Mahindra Scorpio N,Petrol,7,1997,13.85,24.54,19,1613522
Kia Seltos,Petrol,5,1497,10.9,20.37,17,1242525
